№ анкеты,"1) Оцените, в какой мере оправдались Ваши ожидания, связанные с выбором образовательной программы",2) Оцените достаточность полученных теоретических знаний и приобретенных умений и навыков для осуществления эффективной профессиональной деятельности,"3) Оцените соответствие целей, результатов обучения по ОП содержанию ОП (подбор дисциплин, кол-во кредитов, методы обучения, процедуры оценивания и т.п)","4) Оцените качество профессорско-преподавательского состава (знания и квалификация ППС, педагогические качества, объективность оценивания и др.)","5) Оцените качество материально-технической ресурсов необходимой для реализации ОП (здания и сооружения, состояние аудиторного фонда, обеспеченность лабораторным оборудованием и т.д.)","6) Оцените наличие, качество и достаточность учебной и учебно-методической литературы по дисциплинам ОП (учебников, учебно-методических пособий, методических рекомендаций по выполнению заданий СРО, курсовых и дипломных работ и т.д.)","7) Оцените удовлетворенность электронной информационно-образовательной средой (широкополосного доступа в Интернет, системами Moodle, Platonus, электронной библиотеки и др.)","8) Оцените качество организации, проведения и содержание профессиональных практик","9) Как Вы считаете, на сколько соответствуют знания, умения и навыки, полученные обучающимися при освоении образовательной программы, оценке, полученной на итоговой аттестации (при защите дипломной работы / комплексного экзамена)","Ваши пожелания и предложения
",Язык,Длина,Тональность_класс
15059,7,10,9,8,10,9,10,10,9,"мини‑жобалар тақырыптарды бекітеді, при этом на практике много примеры, привязка к задачам рынка есть!",mixed,long,positive
15060,4,4,3,2,2,1,3,3,1,"тренажер ескі, жаңарту керек. тренажер ескі, қайта қарау керек, жақсы болар еді практиканы және мысалдар күшейту.",kz,long,negative
15061,8,7,8,10,10,9,8,8,10,"жоспар тұрақты, хабарлау түсінікті, қарастырған жөн практиканы және жағдайлар күшейту!",kz,medium,positive
15062,9,9,10,10,9,10,10,8,8,"мини‑проекты и задачи помогают закреплять темы. программа выглядит по современным требованиям, по итогу обратная связь работают стабильно.",ru,long,positive
15063,9,8,10,9,9,9,9,7,9,"материалдар реттелген, онлайн жүйе ыңғайлы. презентациялар уақытында беріледі, кейде кеңес алу оңай, сонымен қатар мини‑жобалар пайдалы!",kz,long,positive
15064,9,7,6,6,9,9,7,8,7,"объясняют структурно, делятся работающими подходами, в целом мини‑проекты и задания помогают.",ru,medium,positive
15065,3,5,5,6,5,5,5,2,5,"практика есть, формат привычный. лабораторные идут по графику без сюрпризов, при этом коммуникация работают стабильно",ru,long,neutral
15066,6,7,6,8,6,6,6,8,5,"без особых замечаний, кроме того мини‑проекты и задания помогают., замечу (968)",ru,medium,neutral
15067,7,9,9,8,7,7,8,9,9,"преподаватели вовлечены, отвечают без задержек. учиться комфортно, впечатления позитивные, неплохо бы усилить практику и кейсы.",ru,long,positive
15068,10,9,10,10,8,9,8,9,10,"оқытушылар жедел жауап береді, түсіндіру айқын. бағдарлама актуалды көрінеді, егер қысқаша мини‑жобалар пайдалы, қарастырған жөн практиканы және мысалдар күшейту.",kz,long,positive
15069,9,8,9,6,10,9,8,9,8,"формат ыңғайлы, нұсқаулықтар нақты берілген, жақсы болар еді практиканы және мысалдар күшейту.",kz,medium,positive
15070,8,10,10,10,8,10,8,8,10,"оқытушылар жедел жауап береді, түсіндіру нақты, күшейтсе жақсы практиканы және мысалдар күшейту., егер қысқаша (770)",kz,medium,positive
15071,5,3,6,4,4,7,7,4,7,"рабочая рутина, всё стабильно, хотелось бы усилить практику и примеры., по факту (633)",ru,medium,neutral
15072,10,10,9,10,10,7,10,8,10,"мини‑проекты и задачи помогают закреплять темы, в целом формат ыңғайлы, нұсқаулықтар түсінікті берілген.",mixed,medium,positive
15073,6,7,8,7,6,6,6,8,6,"ерекше ескертулер жоқ. барлығы бірқалыпты, кейде мини‑жобалар пайдалы, егер қысқаша кеңес алу оңай, айтпақшы мини‑жобалар пайдалы",kz,long,neutral
15074,9,10,10,10,10,7,9,8,10,"объясняют структурно, делятся работающими подходами, по факту мини‑проекты и задания помогают.",ru,medium,positive
15075,5,8,7,7,7,7,5,4,7,"ерекше ескертулер жоқ., кейде (185)",kz,short,neutral
15076,7,9,9,9,9,10,9,10,8,"презентации и примеры приходят оперативно. презентации и разборы ситуаций приходят без задержек, имеет смысл усилить практику и примеры!",ru,long,positive
15077,10,10,8,9,6,8,7,8,9,"презентации и примеры приходят оперативно, при этом материалдар реттелген, онлайн жүйе ыңғайлы.",mixed,medium,positive
15078,9,10,8,10,10,8,7,9,8,"материалы структурированы, электронный кабинет удобна. программа выглядит под рынок, неплохо бы усилить практику и кейсы!",ru,long,positive
15079,7,4,7,6,5,7,5,7,7,"уведомления в целом нормальная, замечу уведомления работают стабильно",ru,medium,neutral
15080,9,6,5,6,6,8,8,8,9,"мини‑проекты и задачи помогают закреплять темы. на практике много кейсы, привязка к задачам индустрии есть.",ru,long,positive
15081,9,7,9,9,8,9,10,7,9,"материалдар реттелген, онлайн жүйе ыңғайлы, күшейтсе жақсы практиканы және мысалдар күшейту.",kz,medium,positive
15082,3,7,4,4,6,6,6,6,3,"барлығы бірқалыпты, кейде (533)",kz,short,neutral
15083,10,10,9,9,9,7,8,10,7,"объясняют наглядно, делятся работающими подходами, между прочим коммуникация работают стабильно.",ru,medium,positive
15084,5,6,5,6,4,6,7,6,6,"без особых замечаний…, по факту (545)",ru,short,neutral
15085,8,8,7,9,6,8,8,9,8,"мини‑проекты и задачи помогают закреплять темы. формат практики удобный, инструкции наглядно и по делу.",ru,long,positive
15086,10,8,10,8,10,8,9,7,9,"программа выглядит по современным требованиям, стоит подумать усилить практику и примеры.",ru,medium,positive
15087,10,8,9,8,10,9,8,9,8,"формат практики удобный, инструкции доходчиво и по делу. учиться комфортно, впечатления позитивные, хотелось бы усилить практику и кейсы!",ru,long,positive
15088,2,2,1,1,2,1,1,1,1,"не хватает практики и разборов, мало кейсы, в целом практика аз, нақты жағдайлар аз.",mixed,medium,negative
15089,3,5,4,6,6,7,5,4,6,"практика есть, формат привычный, по итогу (897)",ru,short,neutral
15090,5,8,7,9,8,6,7,8,7,"коммуникация в целом нормальная…, по итогу (396)",ru,short,neutral
15091,7,7,7,7,6,6,8,8,8,"объясняют доходчиво, делятся работающими подходами, стоит подумать усилить практику и разборы ситуаций.",ru,medium,positive
15092,2,5,2,1,2,1,3,2,2,"ответы приходят не всегда оперативно, по итогу мини‑проекты и задания помогают…",ru,medium,negative
15093,9,10,8,9,7,7,10,9,9,"на практике много разборы ситуаций, привязка к задачам рынка есть!, при этом (478)",ru,medium,positive
15094,4,4,5,5,5,3,6,6,4,"без особых замечаний. рабочая рутина, всё стабильно, в итоге уведомления работают стабильно, кроме того обратная связь работают стабильно",ru,long,neutral
15095,4,6,5,6,4,4,6,4,5,"рабочая рутина, всё стабильно. без особых замечаний, по итогу мини‑проекты и задания помогают, при этом коммуникация работают стабильно",ru,long,neutral
15096,4,3,3,4,5,4,6,4,4,"ерекше ескертулер жоқ., соңында (355)",kz,short,neutral
15097,5,6,5,5,6,5,6,4,5,"барлығы бірқалыпты, при этом рабочая рутина, всё стабильно, кейде (961)",mixed,medium,neutral
15098,10,10,8,9,9,6,6,8,10,"тәжірибеде кейстер жеткілікті, индустриямен байланыс бар. формат ыңғайлы, нұсқаулықтар нақты берілген, соңында кеңес алу оңай!",kz,long,positive
15099,9,6,8,8,8,6,9,7,8,презентации и примеры приходят оперативно в.,ru,short,positive
15100,10,10,9,8,8,9,7,10,9,"объясняют по шагам, делятся работающими подходами. учиться комфортно, впечатления позитивные, замечу обратная связь работают стабильно!",ru,long,positive
15101,10,9,9,10,10,9,8,8,8,"мини‑проекты и задачи помогают закреплять темы, айтпақшы формат ыңғайлы, нұсқаулықтар нақты берілген!",mixed,medium,positive
15102,10,9,10,9,9,10,10,9,9,"сетку занятий без накладок, коммуникация понятная. график пар без накладок, обратная связь понятная, стоит подумать усилить практику и кейсы!",ru,long,positive
15103,2,5,3,2,4,4,3,3,5,"дефицит практики и разборов, мало разборы ситуаций.",ru,medium,negative
15104,1,2,1,2,2,2,1,3,1,жабдық ескі қайта қарау керек сонымен.,kz,short,negative
15105,10,7,8,7,7,7,8,8,8,"тәжірибеде мысалдар жеткілікті, индустриямен байланыс бар. оқу жайлы, әсері жақсы, айтпақшы мини‑жобалар пайдалы, кейде кеңес алу оңай.",kz,long,positive
15106,9,8,7,9,10,10,8,9,9,"график пар без накладок, коммуникация понятная, неплохо бы усилить практику и кейсы!",ru,medium,positive
15107,1,1,4,5,5,3,4,3,2,"құралдар ескі, жаңарту керек. күткенім толық орындалмады, сонымен қатар кеңес алу оңай, жалпы кеңес алу оңай.",kz,long,negative
15108,5,7,6,7,9,6,7,6,6,"рабочая рутина, всё стабильно. рабочая рутина, всё стабильно, замечу мини‑проекты и задания помогают, в целом коммуникация работают стабильно",ru,long,neutral
15109,6,6,5,7,5,6,4,6,5,"барлығы бірқалыпты, кейде кеңес алу оңай, болғаны дұрыс практиканы және мысалдар күшейту",kz,medium,neutral
15110,10,8,8,9,9,9,8,8,9,"мини‑проекты и задачи помогают закреплять темы. на практике много примеры, привязка к задачам отрасли есть.",ru,long,positive
15111,10,10,10,10,10,10,9,9,9,"презентации и разборы ситуаций приходят вовремя, было бы полезно усилить практику и разборы ситуаций.",ru,medium,positive
15112,5,6,6,6,7,6,6,8,8,рабочая рутина всё стабильно жалпы ерекше…,mixed,short,neutral
15113,7,4,7,5,5,7,9,6,4,"переносы бывают, уведомляют заранее, айтпақшы өзгерістер болады, алдын ала хабарлайды, имеет смысл практика/жабдықтар бойынша күшейту.",mixed,long,neutral
15114,5,7,7,5,5,4,5,7,6,"рабочая рутина, всё стабильно, по факту (575)",ru,short,neutral
15115,5,5,5,6,4,6,6,6,7,"барлығы бірқалыпты, айтпақшы без особых замечаний, күшейтсе жақсы практика/жабдықтар бойынша күшейту.",mixed,medium,neutral
15116,4,3,5,4,4,4,3,4,3,"рабочая рутина, всё стабильно., при этом (384)",ru,short,neutral
15117,9,10,9,9,10,10,10,10,10,"мини‑жобалар тақырыптарды бекітеді., жалпы (833)",kz,short,positive
15118,9,9,8,9,8,10,9,10,9,"презентациялар кешікпей беріледі, күшейтсе жақсы практиканы және кейстер күшейту.",kz,medium,positive
15119,10,9,10,10,10,10,9,10,10,"консультации доступны, уведомления прозрачная, было бы полезно усилить практику и кейсы.",ru,medium,positive
15120,8,7,8,8,8,8,8,8,10,"тәжірибеде жағдайлар жеткілікті, индустриямен байланыс бар, кейде мини‑жобалар пайдалы.",kz,medium,positive
15121,7,8,7,8,9,8,9,7,6,"презентации и разборы ситуаций приходят оперативно, можно усилить усилить практику и примеры.",ru,medium,positive
15122,5,6,4,4,5,6,5,5,4,"рабочая рутина, всё стабильно, в итоге уведомления работают стабильно., замечу (465)",ru,medium,neutral
15123,10,10,8,10,9,10,10,10,10,"на практике много кейсы, привязка к задачам отрасли есть. программа выглядит актуально, по итогу мини‑проекты и задания помогают.",ru,long,positive
15124,9,10,7,10,10,7,7,10,9,"материалы структурированы, онлайн‑платформа удобна, между прочим мини‑проекты и задания помогают.",ru,medium,positive
15125,7,7,10,9,8,9,9,9,10,"презентациялар кешікпей беріледі. бағдарлама актуалды көрінеді, айтпақшы кеңес алу оңай, соңында кеңес алу оңай, жақсы болар еді практиканы және жағдайлар күшейту!",kz,long,positive
15126,10,10,10,9,10,10,9,8,10,"мини‑проекты и задачи помогают закреплять темы., по факту (843)",ru,medium,positive
15127,9,9,8,7,8,7,8,8,10,"оқытушылар жедел жауап береді, түсіндіру айқын, соңында мини‑жобалар пайдалы., жалпы (986)",kz,medium,positive
15128,7,5,8,5,8,7,7,8,7,"рабочая рутина, всё стабильно, в итоге обратная связь работают стабильно., между прочим (585)",ru,medium,neutral
15129,6,5,5,7,6,7,5,6,7,"рабочая рутина, всё стабильно, в целом ерекше ескертулер жоқ, жалпы жобалар/проекттер пайдалы, в целом жобалар/проекттер пайдалы.",mixed,long,neutral
15130,5,5,3,4,5,6,7,8,5,"рабочая рутина, всё стабильно, между прочим мини‑проекты и задания помогают., между прочим (392)",ru,medium,neutral
15131,7,8,8,10,6,10,7,10,6,"кеңес алу оңай, байланыс ашық. оқытушылар жедел жауап береді, түсіндіру түсінікті, егер қысқаша кеңес алу оңай!",kz,long,positive
15132,3,5,7,4,3,7,5,6,5,"оборудование обычное, рабочее, неплохо бы усилить практику и примеры",ru,medium,neutral
15133,8,9,8,9,9,8,9,10,10,"на практике много кейсы, привязка к задачам отрасли есть!, кроме того (375)",ru,medium,positive
15134,8,6,7,6,9,6,10,8,7,"формат ыңғайлы, нұсқаулықтар айқын берілген, кейде мини‑жобалар пайдалы.",kz,medium,positive
15135,6,8,8,5,5,8,7,8,8,"переносы бывают, уведомляют заранее. без особых замечаний, замечу мини‑проекты и задания помогают, хотелось бы усилить практику и кейсы…",ru,long,neutral
15136,4,5,2,4,6,6,6,3,4,"кейсы есть, но точечно. рабочая рутина, всё стабильно, по итогу мини‑проекты и задания помогают…",ru,long,neutral
15137,5,4,3,5,3,4,2,4,6,"барлығы бірқалыпты, айтпақшы кеңес алу оңай, сонымен қатар кеңес алу оңай…",kz,medium,neutral
15138,5,9,8,7,6,7,7,5,7,"барлығы бірқалыпты, айтпақшы мини‑жобалар пайдалы, егер қысқаша кеңес алу оңай.",kz,medium,neutral
15139,7,5,8,6,4,4,6,7,6,"рабочая рутина, всё стабильно. рабочая рутина, всё стабильно, замечу мини‑проекты и задания помогают, при этом обратная связь работают стабильно…",ru,long,neutral
15140,5,6,5,5,4,7,5,8,6,"кейсы есть, но точечно, хотелось бы усилить практику и примеры",ru,medium,neutral
15141,10,9,8,8,6,9,7,8,9,"расписание без накладок, обратная связь понятная, имеет смысл усилить практику и кейсы.",ru,medium,positive
15142,7,6,6,7,5,6,8,7,7,"рабочая рутина, всё стабильно, хотелось бы усилить практику и кейсы., замечу (676)",ru,medium,neutral
15143,10,8,8,10,9,8,10,10,9,"презентации и разборы ситуаций приходят вовремя. презентации и кейсы приходят вовремя, в итоге мини‑проекты и задания помогают!",ru,long,positive
15144,6,5,3,4,5,6,5,5,4,"без особых замечаний, между прочим мини‑проекты и задания помогают…, в итоге (423)",ru,medium,neutral
15145,7,7,5,6,4,6,5,6,5,"рабочая рутина, всё стабильно…, в итоге (107)",ru,short,neutral
15146,7,8,7,7,7,7,5,6,5,"практика есть, формат привычный, при этом коммуникация работают стабильно.",ru,medium,neutral
15147,10,8,8,9,9,10,8,10,9,"объясняют наглядно, делятся работающими подходами, неплохо бы усилить практику и примеры.",ru,medium,positive
15148,8,7,8,8,9,10,9,9,9,"на практике много примеры, привязка к задачам индустрии есть. программа выглядит актуально, по факту коммуникация работают стабильно.",ru,long,positive
15149,3,3,4,3,5,6,4,5,5,"рабочая рутина, всё стабильно., кроме того (659)",ru,short,neutral
15150,7,6,7,6,8,5,7,5,6,"рабочая рутина, всё стабильно…, при этом (438)",ru,short,neutral
15151,8,9,7,9,8,10,7,7,7,"объясняют доходчиво, делятся работающими подходами. консультации доступны, уведомления прозрачная, было бы полезно усилить практику и примеры.",ru,long,positive
15152,3,3,2,4,4,4,3,4,4,"поздние уведомления, не всегда успеваем, можно усилить усилить практику и разборы ситуаций…",ru,medium,negative
15153,7,6,5,7,6,6,6,8,6,"без особых замечаний. без особых замечаний, кроме того уведомления работают стабильно, имеет смысл усилить практику и разборы ситуаций…",ru,long,neutral
15154,10,10,10,10,9,9,7,9,10,"тәжірибеде кейстер жеткілікті, индустриямен байланыс бар. мини‑жобалар тақырыптарды бекітеді, соңында кеңес алу оңай, айтпақшы мини‑жобалар пайдалы.",kz,long,positive
15155,10,8,10,7,10,9,9,9,7,"консультации доступны, коммуникация прозрачная, между прочим мини‑проекты и задания помогают.",ru,medium,positive
15156,8,6,9,8,8,7,8,9,7,"мини‑проекты и задачи помогают закреплять темы., между прочим (941)",ru,medium,positive
15157,4,7,6,7,6,5,5,6,8,"коммуникация в целом нормальная., по итогу (829)",ru,short,neutral
15158,9,8,9,9,10,10,8,9,7,"процессы выстроены, логистика прозрачна, неплохо бы усилить практику и кейсы!",ru,medium,positive
15159,8,10,9,9,7,10,10,8,8,"материалы структурированы, онлайн‑платформа удобна, неплохо бы усилить практику и кейсы.",ru,medium,positive
15160,8,8,6,10,8,7,9,7,8,"формат практики удобный, инструкции наглядно и по делу., в целом (675)",ru,medium,positive
15161,6,8,7,5,8,7,9,9,9,"преподаватели вовлечены, отвечают точно по графику, между прочим обратная связь работают стабильно!",ru,medium,positive
15162,7,8,6,7,9,7,10,9,8,"паралар графигі тұрақты, хабарлау түсінікті, при этом процессы выстроены, логистика прозрачна, қарастырған жөн практика/жабдықтар бойынша күшейту!",mixed,long,positive
15163,8,7,8,8,8,7,8,9,8,"преподаватели вовлечены, отвечают без задержек, было бы полезно усилить практику и разборы ситуаций.",ru,medium,positive
15164,5,6,4,3,6,5,5,3,5,"без особых замечаний, между прочим уведомления работают стабильно., по факту (420)",ru,medium,neutral
15165,7,9,7,8,6,7,8,8,8,"учиться комфортно, впечатления позитивные., в целом (522)",ru,short,positive
15166,4,3,4,6,5,5,5,5,5,"рабочая рутина, всё стабильно., между прочим (277)",ru,short,neutral
15167,2,3,3,2,4,3,1,4,2,"очереди в лабораториях, времени не хватает, в итоге уведомления работают стабильно…",ru,medium,negative
15168,8,7,8,8,9,9,7,7,8,"кесте тұрақты, хабарлау түсінікті, айтпақшы кеңес алу оңай!",kz,medium,positive
15169,5,2,8,5,6,4,4,4,4,"материалдар уақытында жүктеледі, кейде кешігеді, при этом материалы размещают в онлайн‑платформа, иногда позже",mixed,medium,neutral
15170,8,8,9,8,6,9,8,9,8,"объясняют доходчиво, делятся работающими подходами, при этом коммуникация работают стабильно!",ru,medium,positive
15171,4,4,4,3,2,3,5,3,2,"переносы бывают, уведомляют заранее, неплохо бы усилить практику и разборы ситуаций",ru,medium,neutral
15172,6,3,5,5,6,6,6,5,5,"барлығы бірқалыпты, жалпы кеңес алу оңай, қарастырған жөн практиканы және мысалдар күшейту.",kz,medium,neutral
15173,8,9,9,10,9,8,7,10,9,"зертханалар ұқыпты, тренажер тұрақты жұмыс істейді. зертханалар ұқыпты, тренажер тұрақты жұмыс істейді, егер қысқаша мини‑жобалар пайдалы.",kz,long,positive
15174,9,8,7,5,7,8,8,9,8,"материалы структурированы, электронный кабинет удобна, по факту уведомления работают стабильно!",ru,medium,positive
15175,7,5,4,8,5,8,7,5,6,"рабочая рутина, всё стабильно, неплохо бы усилить практику и кейсы…, в итоге (653)",ru,medium,neutral
15176,6,4,4,6,5,5,5,3,7,"рабочая рутина, всё стабильно, между прочим мини‑проекты и задания помогают…, замечу (539)",ru,medium,neutral
15177,8,8,10,10,10,7,10,9,9,"преподаватели вовлечены, отвечают без задержек. учиться комфортно, впечатления позитивные, по факту уведомления работают стабильно, имеет смысл усилить практику и примеры!",ru,long,positive
15178,8,8,6,7,9,7,7,7,7,"оқытушылар жедел жауап береді, түсіндіру нақты, болғаны дұрыс практиканы және кейстер күшейту., сонымен қатар (974)",kz,medium,positive
15179,2,3,4,3,2,2,2,3,5,"часть тренажёры устарела, нужен обновить. ожидания оправдались не полностью, между прочим мини‑проекты и задания помогают…",ru,long,negative
15180,7,9,9,10,9,10,9,9,10,"презентациялар уақытында беріледі, болғаны дұрыс практиканы және кейстер күшейту.",kz,medium,positive
15181,7,6,9,8,9,8,9,8,8,"мини‑жобалар тақырыптарды бекітеді, кейде мини‑жобалар пайдалы!",kz,medium,positive
15182,8,10,10,8,8,8,9,8,8,"преподаватели вовлечены, отвечают точно по графику, по факту мини‑проекты и задания помогают.",ru,medium,positive
15183,5,2,1,2,3,2,1,3,2,"дефицит практики и разборов, мало кейсы, в итоге мини‑проекты и задания помогают.",ru,medium,negative
15184,6,6,6,7,9,6,7,7,8,"практика есть, формат привычный. рабочая рутина, всё стабильно, при этом коммуникация работают стабильно, по факту мини‑проекты и задания помогают.",ru,long,neutral
15185,8,10,8,8,9,8,10,7,10,"жоспар тұрақты, хабарлау түсінікті, жалпы расписание без накладок, обратная связь понятная, жалпы жобалар/проекттер пайдалы!",mixed,long,positive
15186,1,1,3,4,4,4,3,1,4,"дефицит практики и разборов, мало примеры, по итогу мини‑проекты и задания помогают.",ru,medium,negative
15187,7,7,9,10,9,8,5,9,7,"материалы структурированы, онлайн‑платформа удобна, замечу коммуникация работают стабильно.",ru,medium,positive
15188,5,5,6,3,4,5,7,6,4,"практика бар, қалыпты формат, қоса лабораторные идут по графику без сюрпризов…",mixed,medium,neutral
15189,9,8,8,9,10,10,10,10,10,"жоспар тұрақты, хабарлау түсінікті, айтпақшы кеңес алу оңай.",kz,medium,positive
15190,7,8,8,6,6,8,8,7,10,"процессы выстроены, логистика прозрачна., в целом (540)",ru,short,positive
15191,7,8,6,9,8,6,9,8,7,объясняют понятно делятся работающими подходами қоса!,mixed,short,positive
15192,8,6,9,8,10,10,7,8,7,презентациялар уақытында беріледі қоса презентации и.,mixed,short,positive
15193,9,10,10,10,10,10,10,10,9,"объясняют по шагам, делятся работающими подходами. консультации доступны, уведомления прозрачная, кроме того мини‑проекты и задания помогают!",ru,long,positive
15194,6,4,6,6,3,8,5,6,6,"барлығы бірқалыпты, соңында кеңес алу оңай, болғаны дұрыс практиканы және жағдайлар күшейту…",kz,medium,neutral
15195,9,9,10,9,10,10,8,8,8,"объясняют понятно, делятся работающими подходами, по итогу мини‑проекты и задания помогают.",ru,medium,positive
15196,10,10,9,10,10,10,10,8,8,"материалы структурированы, онлайн‑платформа удобна, между прочим коммуникация работают стабильно.",ru,medium,positive
15197,10,9,10,9,7,9,9,10,9,"оқытушылар жедел жауап береді, түсіндіру нақты, соңында мини‑жобалар пайдалы., егер қысқаша (615)",kz,medium,positive
15198,2,2,4,3,1,4,2,1,1,"бағдарламалар ескі нұсқада. бағдарламалар ескі нұсқада, жалпы мини‑жобалар пайдалы, егер қысқаша мини‑жобалар пайдалы…",kz,long,negative
15199,2,1,1,4,3,2,1,4,2,"часть тренажёры устарела, нужен обновить, в итоге мини‑проекты и задания помогают…",ru,medium,negative
15200,8,10,9,7,10,7,8,9,8,"оқытушылар жедел жауап береді, түсіндіру нақты, соңында кеңес алу оңай., кейде (694)",kz,medium,positive
15201,6,7,10,9,7,8,8,8,7,"кеңес алу оңай, байланыс ашық, кейде кеңес алу оңай., соңында (494)",kz,medium,positive
15202,6,7,6,6,9,8,9,7,6,"процессы выстроены, логистика прозрачна, неплохо бы усилить практику и разборы ситуаций.",ru,medium,positive
15203,6,5,6,4,5,5,5,4,7,"өзгерістер болады, алдын ала хабарлайды, айтпақшы (915)",kz,short,neutral
15204,10,8,9,10,9,9,10,10,9,"материалдар реттелген, онлайн жүйе ыңғайлы, егер қысқаша кеңес алу оңай.",kz,medium,positive
15205,9,9,7,9,8,7,7,9,9,"лаборатории ухоженные, оборудование работают стабильно. аудитории оснащены, работать комфортно, между прочим коммуникация работают стабильно, замечу коммуникация работают стабильно!",ru,long,positive
15206,10,10,10,10,10,10,10,9,10,"объясняют понятно, делятся работающими подходами, в целом коммуникация работают стабильно.",ru,medium,positive
15207,7,6,6,7,5,7,7,8,6,"лабораторные идут по графику без сюрпризов, имеет смысл усилить практику и разборы ситуаций.",ru,medium,neutral
15208,7,8,9,9,8,7,9,9,8,"формат практики удобный, инструкции структурно и по делу., по итогу (365)",ru,medium,positive
15209,6,5,5,5,6,6,4,5,6,"өзгерістер болады, алдын ала хабарлайды. барлығы бірқалыпты, сонымен қатар кеңес алу оңай, қарастырған жөн практиканы және жағдайлар күшейту.",kz,long,neutral
15210,8,8,9,10,10,9,9,8,10,"преподаватели вовлечены, отвечают точно по графику. консультации доступны, обратная связь прозрачная, хотелось бы усилить практику и примеры!",ru,long,positive
15211,8,9,7,7,9,10,9,9,8,"объясняют наглядно, делятся работающими подходами, можно усилить усилить практику и примеры!",ru,medium,positive
15212,10,9,10,9,9,7,8,10,9,"мини‑проекты и задачи помогают закреплять темы. учиться комфортно, впечатления позитивные, в целом коммуникация работают стабильно!",ru,long,positive
15213,8,7,8,10,8,10,9,8,10,"консультации доступны, обратная связь прозрачная. преподаватели вовлечены, отвечают вовремя, было бы полезно усилить практику и кейсы.",ru,long,positive
15214,8,10,8,10,8,8,8,10,8,"на практике много разборы ситуаций, привязка к задачам индустрии есть!, в целом (270)",ru,medium,positive
15215,5,4,5,4,4,5,5,3,4,"рабочая рутина, всё стабильно, в итоге мини‑проекты и задания помогают, в итоге (588)",ru,medium,neutral
15216,8,10,9,9,9,9,10,9,7,"оқытушылар жедел жауап береді, түсіндіру айқын, кейде объясняют доходчиво, делятся работающими подходами.",mixed,medium,positive
15217,5,2,4,3,6,3,1,4,5,құралдар ескі жаңарту керек при этом.,mixed,short,negative
15218,4,1,5,1,4,2,2,2,3,"поздние уведомления, не всегда успеваем. ожидания оправдались не полностью, при этом коммуникация работают стабильно, в целом обратная связь работают стабильно.",ru,long,negative
15219,3,3,3,3,5,4,1,3,2,"очереди в лабораториях, времени не хватает, имеет смысл усилить практику и разборы ситуаций.",ru,medium,negative
15220,4,7,5,7,5,5,7,4,7,"практика бар, қалыпты формат, сонымен қатар мини‑жобалар пайдалы.",kz,medium,neutral
15221,2,2,2,1,2,2,1,5,2,"по части предметов объяснения поверхностные, кроме того коммуникация работают стабильно…",ru,medium,negative
15222,3,4,4,3,2,3,3,2,3,"бағдарламалар ескі нұсқада, жақсы болар еді практиканы және кейстер күшейту.",kz,medium,negative
15223,6,7,7,7,5,7,4,5,7,"разборы ситуаций есть, но точечно. материалы размещают в Moodle, иногда позже, было бы полезно усилить практику и кейсы.",ru,long,neutral
15224,8,9,6,6,8,7,7,8,9,"процестер жүйелі, логистика айқын, кейде сетку занятий без накладок, обратная связь понятная.",mixed,medium,positive
15225,8,8,9,8,8,10,8,10,8,"кеңес алу оңай, байланыс ашық!, айтпақшы (431)",kz,short,positive
15226,4,2,2,3,4,3,2,3,2,"часть оборудование устарела, нужен пересмотреть. часть оборудование устарела, нужен апгрейд нужен, хотелось бы усилить практику и примеры.",ru,long,negative
15227,9,9,7,7,8,10,9,10,9,"консультации доступны, уведомления прозрачная, неплохо бы усилить практику и разборы ситуаций.",ru,medium,positive
15228,8,8,9,7,10,9,10,7,7,"объясняют доходчиво, делятся работающими подходами, в итоге мини‑проекты и задания помогают.",ru,medium,positive
15229,8,10,8,7,9,8,8,7,7,"консультации доступны, обратная связь прозрачная, при этом оқытушылар жедел жауап береді, түсіндіру айқын, қарастырған жөн практика/жабдықтар бойынша күшейту!",mixed,long,positive
15230,6,6,7,6,5,4,4,6,7,"зертханалық жұмыстар кесте бойынша, в целом лабораторные идут по графику без сюрпризов.",mixed,medium,neutral
15231,3,2,1,3,3,3,1,2,2,"жабдық ескі, қайта қарау керек., жалпы (943)",kz,short,negative
15232,10,9,10,9,10,10,10,10,10,"мини‑проекты и задачи помогают закреплять темы. программа выглядит по современным требованиям, было бы полезно усилить практику и примеры.",ru,long,positive
15233,8,7,8,8,9,9,10,8,6,объясняют понятно делятся работающими подходами жалпы!,mixed,short,positive
15234,10,8,10,9,7,10,10,10,10,"оқытушылар жедел жауап береді, түсіндіру нақты, кейде преподаватели вовлечены, отвечают оперативно.",mixed,medium,positive
15235,5,6,7,4,5,6,4,6,5,"барлығы бірқалыпты, айтпақшы кеңес алу оңай, қарастырған жөн практиканы және жағдайлар күшейту",kz,medium,neutral
15236,10,9,10,8,10,9,8,10,9,"мини‑проекты и задачи помогают закреплять темы, айтпақшы мини‑жобалар тақырыптарды бекітеді!",mixed,medium,positive
15237,7,8,10,9,8,9,9,9,10,"формат практики удобный, инструкции наглядно и по делу., между прочим (852)",ru,medium,positive
15238,2,1,3,2,1,1,1,2,1,"подборки стоит обновить, кроме того мини‑проекты и задания помогают…",ru,medium,negative
15239,5,9,8,10,6,9,8,7,7,"без особых замечаний, хотелось бы усилить практику и примеры…, замечу (324)",ru,medium,neutral
